Date,Symbol,Open,High,Low,Close,Volume,Adj Close
2020-01-02,GOOGL,67.42050170898438,68.43399810791016,67.32450103759766,68.43399810791016,27278000,67.9652328491211
2020-01-03,GOOGL,67.4000015258789,68.6875,67.36599731445312,68.07599639892578,23408000,67.60968017578125
2020-01-06,GOOGL,67.58149719238281,69.91600036621094,67.55000305175781,69.8905029296875,46768000,69.41175842285156
2020-01-07,GOOGL,70.02300262451172,70.17500305175781,69.5780029296875,69.75550079345703,34330000,69.2776870727539
2020-01-08,GOOGL,69.74099731445312,70.59249877929688,69.63150024414062,70.25199890136719,35314000,69.77079010009766
2020-01-09,GOOGL,71.09649658203125,71.43399810791016,70.510498046875,70.989501953125,33200000,70.50322723388672
2020-01-10,GOOGL,71.47350311279297,71.74700164794922,70.9800033569336,71.447998046875,26258000,70.9585952758789
2020-01-13,GOOGL,71.76249694824219,72.0739974975586,71.26850128173828,72.00150299072266,30730000,71.50830841064453
2020-01-14,GOOGL,72.0,72.13150024414062,71.38849639892578,71.52950286865234,26076000,71.03954315185547
2020-01-15,GOOGL,71.6510009765625,72.03900146484375,71.58300018310547,71.95999908447266,21550000,71.46707916259766
2020-01-16,GOOGL,72.27249908447266,72.53500366210938,72.0,72.50800323486328,26080000,72.0113296508789
2020-01-17,GOOGL,73.12699890136719,74.02749633789062,72.82749938964844,73.97599792480469,52424000,73.46927642822266
2020-01-21,GOOGL,73.94999694824219,74.49400329589844,73.510498046875,74.11250305175781,48930000,73.60484313964844
2020-01-22,GOOGL,74.48650360107422,75.02899932861328,74.13300323486328,74.19349670410156,28458000,73.68528747558594
2020-01-23,GOOGL,74.37750244140625,74.67500305175781,74.01599884033203,74.2344970703125,26650000,73.72600555419922
2020-01-24,GOOGL,74.64099884033203,74.70999908447266,73.15899658203125,73.30850219726562,29786000,72.80635833740234
2020-01-27,GOOGL,71.5770034790039,71.8290023803711,70.9749984741211,71.58650207519531,34132000,71.09614562988281
2020-01-28,GOOGL,72.08699798583984,72.73999786376953,71.51799774169922,72.5250015258789,29724000,72.0282211303711
2020-01-29,GOOGL,72.9229965209961,73.20700073242188,72.26950073242188,72.83499908447266,21566000,72.33609008789062
2020-01-30,GOOGL,71.90499877929688,72.76249694824219,71.75,72.7125015258789,27110000,72.21443176269531
2020-01-31,GOOGL,73.39299774169922,73.4834976196289,71.35299682617188,71.63899993896484,43822000,71.14827728271484
2020-02-03,GOOGL,73.0824966430664,74.31500244140625,72.83049774169922,74.12999725341797,71636000,73.62222290039062
2020-02-04,GOOGL,72.72450256347656,73.36699676513672,71.10150146484375,72.27050018310547,95880000,71.77545928955078
2020-02-05,GOOGL,73.18049621582031,73.22899627685547,71.48400115966797,72.30249786376953,36376000,71.80723571777344
2020-02-06,GOOGL,72.5989990234375,74.0780029296875,72.52400207519531,73.79850006103516,37822000,73.2929916381836
2020-02-07,GOOGL,73.36949920654297,74.26249694824219,73.27050018310547,73.95549774169922,28360000,73.44891357421875
2020-02-10,GOOGL,73.86150360107422,75.44400024414062,73.76000213623047,75.43299865722656,38302000,74.91629791259766
2020-02-11,GOOGL,75.66349792480469,76.49400329589844,75.27249908447266,75.50299835205078,34852000,74.9858169555664
2020-02-12,GOOGL,75.79299926757812,76.01499938964844,75.43350219726562,75.93150329589844,31042000,75.411376953125
2020-02-13,GOOGL,75.5,76.29750061035156,75.19999694824219,75.66950225830078,22914000,75.15118408203125
2020-02-14,GOOGL,75.72650146484375,76.00250244140625,75.27749633789062,75.9365005493164,23198000,75.41634368896484
2020-02-18,GOOGL,75.71700286865234,76.52799987792969,75.55049896240234,75.97200012207031,25642000,75.45160675048828
2020-02-19,GOOGL,76.36000061035156,76.53700256347656,76.04900360107422,76.24349975585938,22746000,75.72123718261719
2020-02-20,GOOGL,75.95050048828125,76.35350036621094,75.21299743652344,75.84950256347656,25962000,75.32994079589844
2020-02-21,GOOGL,75.22899627685547,75.54750061035156,73.92449951171875,74.1729965209961,42520000,73.6649169921875
2020-02-24,GOOGL,71.15249633789062,71.81900024414062,70.3395004272461,70.99299621582031,49560000,70.50670623779297
2020-02-25,GOOGL,71.55000305175781,71.84249877929688,69.02100372314453,69.31600189208984,51580000,68.8411865234375
2020-02-26,GOOGL,69.7490005493164,70.68350219726562,68.82749938964844,69.52349853515625,49776000,69.04727172851562
2020-02-27,GOOGL,67.95700073242188,68.47000122070312,65.71199798583984,65.74749755859375,62290000,65.29713439941406
2020-02-28,GOOGL,63.71549987792969,67.12249755859375,63.410499572753906,66.9625015258789,80198000,66.50381469726562
2020-03-02,GOOGL,67.56950378417969,69.37349700927734,66.26000213623047,69.31600189208984,55430000,68.8411865234375
2020-03-03,GOOGL,69.88400268554688,70.40950012207031,66.46199798583984,66.88600158691406,56602000,66.4278335571289
2020-03-04,GOOGL,67.947998046875,69.13899993896484,66.8499984741211,69.08000183105469,47598000,68.6068115234375
2020-03-05,GOOGL,67.27749633789062,67.68150329589844,65.08200073242188,65.73799896240234,54380000,65.28770446777344
2020-03-06,GOOGL,63.497501373291016,65.13749694824219,62.86050033569336,64.78700256347656,64640000,64.34323120117188
2020-03-09,GOOGL,60.24800109863281,62.63650131225586,59.902000427246094,60.78950119018555,69252000,60.37310028076172
2020-03-10,GOOGL,62.71950149536133,63.79249954223633,60.72549819946289,63.75849914550781,54872000,63.32176208496094
2020-03-11,GOOGL,62.41350173950195,62.84650039672851,59.55699920654297,60.54499816894531,54732000,60.130271911621094
2020-03-12,GOOGL,56.13100051879883,59.4375,55.42350006103515,55.57749938964844,94326000,55.196800231933594
2020-03-13,GOOGL,58.7495002746582,60.720001220703125,55.614498138427734,60.7135009765625,79400000,60.29762268066406
2020-03-16,GOOGL,54.480499267578125,57.27349853515625,53.354000091552734,53.650001525878906,96520000,53.28250503540039
2020-03-17,GOOGL,54.53200149536133,56.29999923706055,52.45500183105469,55.90299987792969,83194000,55.52007293701172
2020-03-18,GOOGL,52.99700164794922,55.2495002746582,51.849998474121094,54.55950164794922,93044000,54.1857795715332
2020-03-19,GOOGL,54.4109992980957,57.63050079345703,52.77750015258789,55.583499908447266,74064000,55.20276641845703
2020-03-20,GOOGL,56.54499816894531,56.92399978637695,53.10499954223633,53.410499572753906,82878000,53.04464340209961
2020-03-23,GOOGL,52.81850051879883,53.34550094604492,50.44350051879883,52.70650100708008,83672000,52.34546661376953
2020-03-24,GOOGL,55.19900131225586,56.666500091552734,54.32149887084961,56.5004997253418,72468000,56.11347579956055
2020-03-25,GOOGL,56.229000091552734,57.30849838256836,54.1505012512207,55.08100128173828,90324000,54.70370101928711
2020-03-26,GOOGL,55.73600006103515,58.57400131225586,54.60150146484375,58.145999908447266,76562000,57.74770736694336
2020-03-27,GOOGL,56.37350082397461,57.5525016784668,55.20000076293945,55.51300048828125,62794000,55.13274383544922
2020-03-30,GOOGL,56.63199996948242,57.54999923706055,54.92449951171875,57.31549835205078,58736000,56.92289733886719
2020-03-31,GOOGL,57.436500549316406,58.66999816894531,56.83599853515625,58.09749984741211,65228000,57.69953536987305
2020-04-01,GOOGL,56.20000076293945,56.47100067138672,54.67449951171875,55.10499954223633,51970000,54.7275390625
2020-04-02,GOOGL,55.0,56.13850021362305,54.65650177001953,55.85150146484375,56410000,55.46892929077149
2020-04-03,GOOGL,55.73550033569336,55.93949890136719,53.75400161743164,54.6349983215332,51374000,54.2607536315918
2020-04-06,GOOGL,56.650001525878906,59.537498474121094,56.25,59.15950012207031,63320000,58.75426483154297
2020-04-07,GOOGL,60.85049819946289,61.03900146484375,58.86249923706055,59.12799835205078,61620000,58.72298049926758
2020-04-08,GOOGL,60.154998779296875,60.744998931884766,59.1974983215332,60.349998474121094,40334000,59.93660736083984
2020-04-09,GOOGL,60.90900039672851,61.0994987487793,59.62099838256836,60.32849884033203,54028000,59.91525650024414
2020-04-13,GOOGL,60.07500076293945,60.72600173950195,59.11650085449219,60.52050018310547,38702000,60.10594177246094
2020-04-14,GOOGL,61.99850082397461,63.787498474121094,61.426998138427734,63.26150131225586,63358000,62.82817077636719
2020-04-15,GOOGL,62.32550048828125,63.75550079345703,61.70000076293945,62.8650016784668,42236000,62.43438720703125
2020-04-16,GOOGL,63.35699844360352,63.667999267578125,61.90999984741211,62.87149810791016,57896000,62.44084167480469
2020-04-17,GOOGL,64.08499908447266,64.5,63.29999923706055,63.95000076293945,51050000,63.5119514465332
2020-04-20,GOOGL,63.49449920654297,63.84099960327149,62.821998596191406,63.057498931884766,35292000,62.62556076049805
2020-04-21,GOOGL,62.135501861572266,62.5,60.25,60.608001708984375,49648000,60.19284439086914
2020-04-22,GOOGL,62.05550003051758,63.99399948120117,61.86000061035156,62.920501708984375,46296000,62.489501953125
2020-04-23,GOOGL,63.2869987487793,64.40750122070312,63.0265007019043,63.55849838256836,34202000,63.12313461303711
2020-04-24,GOOGL,62.75,63.885501861572266,62.20000076293945,63.83000183105469,37402000,63.39277648925781
2020-04-27,GOOGL,64.5999984741211,64.70500183105469,63.25299835205078,63.542999267578125,44186000,63.10773849487305
2020-04-28,GOOGL,64.16000366210938,64.23799896240234,61.51900100708008,61.62950134277344,80700000,61.20734786987305
2020-04-29,GOOGL,67.25,68.00749969482422,66.33650207519531,67.10900115966797,108358000,66.64930725097656
2020-04-30,GOOGL,66.56800079345703,67.5,66.07499694824219,67.33499908447266,55842000,66.8737564086914
2020-05-01,GOOGL,66.20449829101562,67.57150268554688,65.48300170898438,65.86599731445312,48872000,65.4148178100586
2020-05-04,GOOGL,65.40650177001953,66.22350311279297,64.80049896240234,66.1449966430664,30806000,65.69190979003906
2020-05-05,GOOGL,66.875,68.55049896240234,66.75150299072266,67.45099639892578,39666000,66.98896789550781
2020-05-06,GOOGL,67.9000015258789,68.43450164794922,67.25650024414062,67.27149963378906,31732000,66.8106918334961
2020-05-07,GOOGL,68.06549835205078,68.80000305175781,67.62699890136719,68.46399688720703,30652000,67.99502563476562
2020-05-08,GOOGL,69.09100341796875,69.83200073242188,68.60050201416016,69.21700286865234,33326000,68.74287414550781
2020-05-11,GOOGL,68.8395004272461,70.77649688720703,68.7750015258789,70.17949676513672,32718000,69.69878387451172
2020-05-12,GOOGL,70.41100311279297,70.71649932861328,68.72550201416016,68.75900268554688,33918000,68.28800964355469
2020-05-13,GOOGL,68.80799865722656,69.2665023803711,66.40049743652344,67.41649627685547,40368000,66.95469665527344
2020-05-14,GOOGL,66.6760025024414,67.86849975585938,66.16500091552734,67.84300231933594,36660000,67.37828826904297
2020-05-15,GOOGL,67.41300201416016,68.72899627685547,66.94999694824219,68.65299987792969,41544000,68.18273162841797
2020-05-18,GOOGL,68.0790023803711,69.63800048828125,67.70999908447266,69.25900268554688,47094000,68.78459167480469
2020-05-19,GOOGL,69.27400207519531,69.62449645996094,68.68800354003906,68.72000122070312,31586000,68.24928283691406
2020-05-20,GOOGL,69.45800018310547,70.60150146484375,69.37100219726562,70.45800018310547,38262000,69.97537994384766
2020-05-21,GOOGL,70.54949951171875,70.822998046875,69.71949768066406,70.3375015258789,30894000,69.85570526123047
2020-05-22,GOOGL,70.19499969482422,70.8499984741211,69.79750061035156,70.66200256347656,28544000,70.17797088623047
2020-05-26,GOOGL,72.0979995727539,72.25550079345703,70.97000122070312,71.06849670410156,44590000,70.58169555664062
2020-05-27,GOOGL,71.0,71.26750183105469,69.7300033569336,71.01399993896484,31684000,70.5275650024414
2020-05-28,GOOGL,70.0,72.2229995727539,69.9540023803711,70.91200256347656,35170000,70.42626953125
2020-05-29,GOOGL,71.02149963378906,71.83650207519531,70.79900360107422,71.6760025024414,37044000,71.1850357055664
2020-06-01,GOOGL,71.28500366210938,72.0790023803711,71.11399841308594,71.74349975585938,25162000,71.25206756591797
2020-06-02,GOOGL,71.75,72.1500015258789,71.08049774169922,72.1155014038086,23442000,71.62152099609375
2020-06-03,GOOGL,72.13500213623047,72.45050048828125,71.58100128173828,71.9625015258789,27732000,71.46956634521484
2020-06-04,GOOGL,71.83899688720703,72.06600189208984,70.30049896240234,70.71499633789062,26982000,70.23059844970703
2020-06-05,GOOGL,70.78199768066406,72.31500244140625,70.38099670410156,72.0009994506836,42642000,71.50780487060547
2020-06-08,GOOGL,71.31400299072266,72.44999694824219,71.2239990234375,72.4020004272461,33878000,71.90605926513672
2020-06-09,GOOGL,72.26200103759766,73.38999938964844,72.11799621582031,72.60399627685547,33624000,72.1066665649414
2020-06-10,GOOGL,73.07550048828125,73.63849639892578,72.71800231933594,73.23500061035156,31762000,72.73335266113281
2020-06-11,GOOGL,72.05149841308594,72.58000183105469,69.92050170898438,70.09500122070312,47144000,69.61485290527344
2020-06-12,GOOGL,71.29299926757812,71.72550201416016,69.29000091552734,70.64600372314453,36676000,70.1620864868164
2020-06-15,GOOGL,69.47450256347656,71.25,69.36000061035156,71.03700256347656,30468000,70.55040740966797
2020-06-16,GOOGL,72.44999694824219,72.8584976196289,71.44950103759766,72.32350158691406,30648000,71.82809448242188
2020-06-17,GOOGL,72.64700317382812,73.11000061035156,71.75650024414062,72.62699890136719,30610000,72.1295166015625
2020-06-18,GOOGL,72.49250030517578,72.64849853515625,71.31199645996094,71.70600128173828,34862000,71.2148208618164
2020-06-19,GOOGL,72.0,72.2249984741211,70.94999694824219,71.23200225830078,52784000,70.74407958984375
2020-06-22,GOOGL,71.25050354003906,72.54750061035156,70.95950317382812,72.53299713134766,29442000,72.0361557006836
2020-06-23,GOOGL,72.5999984741211,73.76000213623047,72.25,73.1989974975586,37752000,72.69759368896484
2020-06-24,GOOGL,73.16400146484375,73.78949737548828,71.5,71.63500213623047,31592000,71.1443099975586
2020-06-25,GOOGL,71.56099700927734,72.11599731445312,70.97699737548828,72.05500030517578,23958000,71.56143188476562
2020-06-26,GOOGL,71.63150024414062,71.85099792480469,67.75,68.12699890136719,97640000,67.66033935546875
2020-06-29,GOOGL,68.01699829101562,69.9000015258789,67.5824966430664,69.8584976196289,45074000,69.3799819946289
2020-06-30,GOOGL,69.84400177001953,71.19999694824219,69.34649658203125,70.90249633789062,40286000,70.41682434082031
2020-07-01,GOOGL,70.95850372314453,72.42400360107422,70.70899963378906,72.0999984741211,42182000,71.60612487792969
2020-07-02,GOOGL,72.59200286865234,74.4260025024414,72.55349731445312,73.49649810791016,57218000,72.9930648803711
2020-07-06,GOOGL,74.40750122070312,75.5,73.8489990234375,74.98249816894531,44712000,74.46887969970703
2020-07-07,GOOGL,74.80650329589844,76.06600189208984,74.48500061035156,74.49600219726562,42364000,73.98571014404297
2020-07-08,GOOGL,75.04000091552734,75.55850219726562,74.61499786376953,75.18000030517578,31766000,74.66502380371094
2020-07-09,GOOGL,75.49649810791016,76.45700073242188,74.77950286865234,75.93299865722656,41836000,75.41287231445312
2020-07-10,GOOGL,75.6624984741211,77.06700134277344,75.03600311279297,76.95050048828125,35918000,76.42340087890625
2020-07-13,GOOGL,77.49700164794922,78.81800079345703,75.3280029296875,75.61150360107422,42954000,75.09358215332031
2020-07-14,GOOGL,74.6395034790039,76.13999938964844,74.29650115966797,76.04299926757812,38108000,75.52210998535156
2020-07-15,GOOGL,76.1614990234375,76.81649780273438,74.8915023803711,75.84400177001953,31026000,75.32447814941406
2020-07-16,GOOGL,75.07499694824219,75.79550170898438,74.41349792480469,75.74600219726562,26484000,75.22715759277344
2020-07-17,GOOGL,75.84549713134766,76.17150115966797,74.90499877929688,75.84249877929688,34264000,75.322998046875
2020-07-20,GOOGL,75.75,78.45050048828125,75.13500213623047,78.19200134277344,30166000,77.65638732910156
2020-07-21,GOOGL,79.25150299072266,79.35250091552734,77.63099670410156,77.7959976196289,27486000,77.26309967041016
2020-07-22,GOOGL,77.7854995727539,78.3489990234375,77.1614990234375,78.24250030517578,24482000,77.70655059814453
2020-07-23,GOOGL,78.29650115966797,78.51750183105469,75.42949676513672,75.8375015258789,33910000,75.3180160522461
2020-07-24,GOOGL,74.95950317382812,75.77149963378906,74.37950134277344,75.4104995727539,29902000,74.89395141601562
2020-07-27,GOOGL,75.66300201416016,76.87799835205078,75.61650085449219,76.47149658203125,27124000,75.94766998291016
2020-07-28,GOOGL,76.25,76.30049896240234,75.0260009765625,75.18250274658203,30910000,74.66751861572266
2020-07-29,GOOGL,75.25,76.66649627685547,75.15049743652344,76.17549896240234,22676000,75.6537094116211
2020-07-30,GOOGL,74.89849853515625,77.04450225830078,74.75849914550781,76.91850280761719,36042000,76.3916244506836
2020-07-31,GOOGL,74.85250091552734,75.2509994506836,72.69999694824219,74.39749908447266,91468000,73.88789367675781
2020-08-03,GOOGL,74.55000305175781,74.8864974975586,73.58599853515625,74.13800048828125,45482000,73.63017272949219
2020-08-04,GOOGL,74.33550262451172,74.65550231933594,73.20149993896484,73.66500091552734,37212000,73.16039276123047
2020-08-05,GOOGL,73.84100341796875,74.5,73.56099700927734,73.95449829101562,29134000,73.44791412353516
2020-08-06,GOOGL,73.80750274658203,75.3134994506836,73.59500122070312,75.24749755859375,33306000,74.73206329345703
2020-08-07,GOOGL,75.4520034790039,76.00450134277344,74.3134994506836,74.91850280761719,27718000,74.40531921386719
2020-08-10,GOOGL,74.54000091552734,75.35749816894531,73.87449645996094,74.84100341796875,20546000,74.32835388183594
2020-08-11,GOOGL,74.69999694824219,75.52200317382812,73.90950012207031,74.0270004272461,31098000,73.5199203491211
2020-08-12,GOOGL,74.35600280761719,75.58350372314453,74.25,75.36199951171875,22512000,74.84577941894531
2020-08-13,GOOGL,75.4104995727539,76.84850311279297,75.4104995727539,75.8324966430664,22388000,75.31305694580078
2020-08-14,GOOGL,75.68049621582031,75.989501953125,74.94999694824219,75.23149871826172,21942000,74.71617126464844
2020-08-17,GOOGL,75.79850006103516,76.18900299072266,75.25,75.81199645996094,19990000,75.29269409179688
2020-08-18,GOOGL,76.30599975585938,77.86849975585938,76.08350372314453,77.78900146484375,28378000,77.25614166259766
2020-08-19,GOOGL,77.62449645996094,78.44300079345703,77.0,77.23049926757812,30472000,76.70147705078125
2020-08-20,GOOGL,76.99849700927734,79.00849914550781,76.7229995727539,78.8125,26382000,78.27264404296875
2020-08-21,GOOGL,78.58999633789062,79.59400177001953,78.1155014038086,78.77850341796875,34838000,78.2388916015625
2020-08-24,GOOGL,79.62349700927734,80.43900299072266,78.75199890136719,79.25749969482422,25638000,78.71459197998047
2020-08-25,GOOGL,79.00499725341797,80.44400024414062,78.89399719238281,80.2925033569336,25150000,79.74251556396484
2020-08-26,GOOGL,80.31500244140625,82.6395034790039,80.04900360107422,82.20649719238281,52188000,81.64338684082031
2020-08-27,GOOGL,82.33049774169922,82.39949798583984,80.94049835205078,81.4260025024414,31350000,80.86825561523438
2020-08-28,GOOGL,81.47350311279297,82.06749725341797,81.28050231933594,81.97149658203125,22418000,81.41000366210938
2020-08-31,GOOGL,82.17849731445312,82.2249984741211,81.2665023803711,81.47650146484375,26422000,80.91840362548828
2020-09-01,GOOGL,81.60800170898438,82.96099853515625,81.47650146484375,82.75399780273438,22652000,82.18714141845703
2020-09-02,GOOGL,83.40049743652344,86.30500030517578,83.0094985961914,85.86949920654297,49522000,85.28131103515625
2020-09-03,GOOGL,84.97599792480469,85.0,80.385498046875,81.47550201416016,63726000,80.91741180419922
2020-09-04,GOOGL,80.44999694824219,81.74949645996094,76.89849853515625,79.06050109863281,55850000,78.51895141601562
2020-09-08,GOOGL,76.25,77.77749633789062,75.82499694824219,76.18000030517578,54032000,75.6581802368164
2020-09-09,GOOGL,77.44499969482422,77.93599700927734,76.25849914550781,77.36150360107422,39242000,76.83159637451172
2020-09-10,GOOGL,77.50900268554688,78.68299865722656,76.0,76.30249786376953,33024000,75.77983856201172
2020-09-11,GOOGL,76.40750122070312,76.93499755859375,74.6510009765625,75.78800201416016,30706000,75.26885986328125
2020-09-14,GOOGL,76.5824966430664,77.8499984741211,75.25550079345703,75.44149780273438,42660000,74.92473602294922
2020-09-15,GOOGL,76.39450073242188,77.54949951171875,76.1050033569336,76.75599670410156,23042000,76.230224609375
2020-09-16,GOOGL,77.1240005493164,77.71849822998047,75.57949829101562,75.60449981689453,22128000,75.08662414550781
2020-09-17,GOOGL,74.29049682617188,74.93299865722656,73.12300109863281,74.35199737548828,40008000,73.84268951416016
2020-09-18,GOOGL,74.41500091552734,74.76000213623047,71.58100128173828,72.55449676513672,63056000,72.05751037597656
2020-09-21,GOOGL,71.58100128173828,72.00299835205078,70.13400268554688,71.50700378417969,56908000,71.0171890258789
2020-09-22,GOOGL,72.51599884033203,73.19850158691406,71.4749984741211,72.99099731445312,33950000,72.49102020263672
2020-09-23,GOOGL,72.60449981689453,72.65399932861328,70.13400268554688,70.46949768066406,37726000,69.9867935180664
2020-09-24,GOOGL,70.13400268554688,71.89949798583984,70.10749816894531,71.14299774169922,34552000,70.65567779541016
2020-09-25,GOOGL,71.25250244140625,72.2969970703125,70.38400268554688,71.9530029296875,30326000,71.46012878417969
2020-09-28,GOOGL,73.59950256347656,73.64949798583984,72.31400299072266,72.93299865722656,30784000,72.43341827392578
2020-09-29,GOOGL,73.19550323486328,73.5999984741211,72.69999694824219,73.3010025024414,31816000,72.79890441894531
2020-09-30,GOOGL,73.0469970703125,74.30999755859375,72.78800201416016,73.27999877929688,40924000,72.77803802490234
2020-10-01,GOOGL,74.18299865722656,74.75350189208984,73.83999633789062,74.3949966430664,32884000,73.8853988647461
2020-10-02,GOOGL,72.98149871826172,73.95149993896484,72.36750030517578,72.77999877929688,31222000,72.28146362304688
2020-10-05,GOOGL,73.13249969482422,74.23500061035156,73.00450134277344,74.1415023803711,21602000,73.6336441040039
2020-10-06,GOOGL,73.7750015258789,74.22599792480469,72.25050354003906,72.5510025024414,26096000,72.05403137207031
2020-10-07,GOOGL,72.96549987792969,73.44850158691406,71.6614990234375,72.95700073242188,36108000,72.45726013183594
2020-10-08,GOOGL,73.27249908447266,74.40149688720703,73.27249908447266,74.17150115966797,26076000,73.66343688964844
